Name,Year,Website,Input Type,Output Type,Output Length,Real Time,AI Technique,License,Free,Open Source,Checkpoints,Fine-tune,Train From Scratch,Training Dataset,Representation Class,Representation Subclass,Conditioning & Controls,notes
Aimi,2023,aimi.fm,"None, Text",Audio,Endless,Yes,Unknown,Proprietary,No,No,No,No,No,Not disclosed,Unknown,Unknown,Video,
AIVA,2019,aiva.ai,"Audio, MIDI","Audio, MIDI",5min30s,No,Unknown,Proprietary,Yes/No,No,No,No,No,Not disclosed,Unknown,Unknown,"Audio, MIDI",
Audialab,2021,audialab.com,Text,Audio,Short,Yes,Unknown,Proprietary,No,No,No,No,No,"Teacher model not disclosed, AudioCaps dataset (Kim et al., 2019) for AudioLCM model",Unknown,Unknown,Genre,
Loudly,2023,loudly.com,None,Audio,7min,No,Unknown,Proprietary,Yes/No,No,No,No,No,Not disclosed,Unknown,Unknown,"Energy, Genre, Key, Structure, Tempo",
MAGNet,2019,github.com/Louismac/MAGNet,"Audio, None",Audio,Input Length,Yes,LSTM,BSD 3-Clause,Yes,Yes,No,No,Yes,Not disclosed,Unknown,Unknown,"Audio Features, MIDI","Not conditionned, but like the other lstm rnn models, it can be easily conditionned"
Mubert,2016,mubert.com,Text,Audio,25min,No,Unknown,Proprietary,Yes/No,No,~,No,No,Not disclosed,Unknown,Unknown,"Genre, Mood, Image",
MusicGen,2023,ai.honu.io/papers/musicgen,Text,Audio,30s,No,Transformer,MIT/CC-BY-NC,Yes,Yes,10 Models,Yes,Yes,NSynth Dataset; Others not disclosed,Unknown,Unknown,"Melody Chroma, Text",In the space of EnCodec discrete audio tokens
Amadeus Code,2019,amadeuscode.com,None,"Audio, MIDI",Variable,No,Unknown,Proprietary,Yes/No,No,No,No,No,Not disclosed,Unknown,Unknown,Genre,
AudioLCM,2023,github.com/Text-to-Audio/AudioLCM,Text,Audio,Variable,Yes,Latent Consistency Model (LCM),MIT,Yes,Yes,Yes,Yes,~,Yes (Paid features),Unknown,Unknown,None,text-conditioned audio diffusion in the latent space of an ausio codec
Boomy,2019,boomy.com,"Audio, Text",Audio,mins/track,No,Unknown,Proprietary,No,No,No,No,No,Not disclosed,Unknown,Unknown,Unknown,
Dance Diffusion,2022,github.com/harmonai-org/sample-generator,Audio,Audio,Variable,No,Latent Diffusion,MIT,Yes,Yes,Yes,Yes,Yes,"glitch.cool, songaday.world, MAESTRO, Unlocked Recordings, xeno-canto.org",Latent Space Representation,Unknown,Unknown,
Magenta Continue,2018,magenta.tensorflow.org/studio#continue,MIDI,MIDI,32 Bars,No,LSTM,Apache 2.0,Yes,Yes,Yes,Yes,Yes,Not disclosed; PerformanceRNN: The Piano-e-Competition dataset,Unknown,Unknown,"Temperature, Variation",
Magenta Drumify,2018,magenta.tensorflow.org/studio#drumify,MIDI,MIDI,Input Length,No,LSTM,Apache 2.0,Yes,Yes,Yes,Yes,Yes,"Expanded Groove MIDI, Groove MIDI",Unknown,Unknown,"Temperature, Variation",
Magenta Generate,2018,magenta.tensorflow.org,None,MIDI,4 Bars,No,VAE,Apache 2.0,Yes,Yes,Yes,Yes,Yes,"NSynth, MAESTRO, Lakh MIDI",VAE Latent Space,Unknown,"Temperature, Variation",
MusicLM,2023,google-research.github.io/seanet/musiclm/examples/,Text,Audio,30s,No,Transformer,Proprietary,Yes,No,No,No,No,MusicCaps; AudioSet,Hidden State,"textual, semantic, and acoustic",Unknown,"Embedding contains textual, semantic, and acoustic tokens"
RAVE,2022,acids-ircam.github.io/RAVE/,Audio,Audio,Variable,Yes,VAE,MIT,Yes,Yes,Yes,Yes,Yes,"Can train on custom datasets, e.g. IILGuitarTimbre, CSTR VCTK Corpus",Latent Space Representation,Timbre Latent Space,Timbre,VAE Latent Space (Regularized on: Timbre and non-semantic features)
